full_name,pdes,name,neo,pha,class,e,a,q,i,om,w,ma,epoch,per,per_y,n,ad,H,G,diameter,extent,albedo,rot_per,GM,density,BV,UB,IR,spec_T,spec_B,condition_code,data_arc,n_obs_used,moid,moid_ld,t_jup
       (2018 EE9),2018 EE9,,Y,N,APO,0.6532,2.183,0.757,1.22,172.53,287.10,15.72,2458194.5,1.18e+03,3.22,0.3057,3.61,26.32,,,,,,,,,,,,,8,18,18,0.00236,0.917,3.37
       (2018 EZ9),2018 EZ9,,Y,N,AMO,0.0945,1.148,1.039,12.36,163.41,349.58,10.97,2458184.5,449,1.23,0.8014,1.26,27.07,,,,,,,,,,,,,9,,7,0.0494,19.2,5.45
       (2018 EA10),2018 EA10,,Y,N,APO,0.1593,1.194,1.004,16.57,164.46,340.52,132.87,2461200.5,477,1.31,0.7552,1.38,27.40,,,,,,,,,,,,,7,1,14,0.0202,7.86,5.26
       (2018 EM15),2018 EM15,,Y,N,AMO,0.4954,2.56,1.292,4.02,49.17,15.46,54.57,2461200.5,1.5e+03,4.1,0.2406,3.83,19.55,,,,,,,,,,,,,0,2903,134,0.305,119,3.25
       (2018 FB),2018 FB,,Y,N,APO,0.5527,2.192,0.981,3.11,177.73,29.55,181.76,2461200.5,1.19e+03,3.25,0.3037,3.40,24.10,,,,,,,,,,,,,4,14,154,0.00988,3.85,3.45
       (2018 FD),2018 FD,,Y,N,ATE,0.3260,0.7963,0.537,5.41,171.54,179.54,34.46,2461200.5,260,0.711,1.387,1.06,24.27,,,,,,,,,,,,,1,1838,101,0.0402,15.6,7.27
       (2018 FE),2018 FE,,Y,N,APO,0.3228,1.285,0.870,15.76,356.15,244.20,198.53,2461200.5,532,1.46,0.6764,1.70,28.20,,,,,,,,,,,,,7,1,16,0.0105,4.09,4.95
       (2018 FH),2018 FH,,Y,N,APO,0.5911,2.421,0.990,20.55,329.75,274.64,42.43,2461200.5,1.38e+03,3.77,0.2617,3.85,19.98,,,,,,,,,,,,,0,3142,63,0.251,97.9,3.18
       (2018 FT),2018 FT,,Y,N,APO,0.4165,1.631,0.952,28.09,174.55,322.04,15.62,2458194.5,761,2.08,0.4731,2.31,25.50,,,,,,,,,,,,,8,4,19,0.019,7.41,4.09
       (2018 FU),2018 FU,,Y,N,APO,0.4791,1.263,0.658,9.07,9.78,62.39,336.64,2461200.5,519,1.42,0.6943,1.87,22.20,,,,,,,,,,,,,6,36,106,0.0647,25.2,4.97
       (2018 FV),2018 FV,,Y,N,AMO,0.4184,1.753,1.020,1.87,70.05,78.35,205.70,2461200.5,848,2.32,0.4245,2.49,24.68,,,,,,,,,,,,,5,94,34,0.045,17.5,4.02
       (2018 FW),2018 FW,,Y,N,APO,0.5361,2.049,0.950,2.38,13.69,126.44,300.12,2461200.5,1.07e+03,2.93,0.3361,3.15,25.00,,,,,,,,,,,,,7,20,78,0.0169,6.59,3.6
       (2018 FY),2018 FY,,Y,N,ATE,0.1306,0.9811,0.853,11.00,164.45,244.82,285.74,2461200.5,355,0.972,1.014,1.11,23.30,,,,,,,,,,,,,2,811,85,0.0252,9.82,6.15
       (2018 FA1),2018 FA1,,Y,N,APO,0.3657,1.185,0.752,29.41,0.35,281.88,298.18,2458197.5,471,1.29,0.7639,1.62,23.15,,,,,,,,,,,,,8,27,55,0.0411,16,5.16
       (2018 FB1),2018 FB1,,Y,N,APO,0.6975,2.032,0.615,35.61,27.34,57.14,324.92,2461200.5,1.06e+03,2.9,0.3403,3.45,19.79,,,,,,,,,,,,,0,2162,118,0.197,76.6,3.29
       (2018 FC1),2018 FC1,,Y,N,AMO,0.3164,1.619,1.107,27.94,181.66,49.16,329.37,2461200.5,753,2.06,0.4783,2.13,21.90,,,,,,,,,,,,,0,865,104,0.192,74.7,4.15
       (2018 FD1),2018 FD1,,Y,N,AMO,0.2597,1.415,1.048,14.12,358.11,187.46,314.93,2461200.5,615,1.68,0.5854,1.78,25.90,,,,,,,,,,,,,7,10,33,0.0537,20.9,4.65
       (2018 FF1),2018 FF1,,Y,N,AMO,0.3863,1.897,1.164,8.55,169.68,37.85,41.66,2461200.5,954,2.61,0.3772,2.63,23.60,,,,,,,,,,,,,5,83,53,0.184,71.8,3.84
       (2018 FG1),2018 FG1,,Y,N,APO,0.2956,1.074,0.756,6.55,0.99,271.66,79.99,2461200.5,406,1.11,0.8859,1.39,27.30,,,,,,,,,,,,,7,1,20,0.0026,1.01,5.71
       (2018 FH1),2018 FH1,,Y,N,ATE,0.1771,0.9381,0.772,3.55,181.36,232.98,123.27,2461200.5,332,0.909,1.085,1.10,26.60,,,,,,,,,,,,,4,5,46,0.00803,3.12,6.38
       (2018 FQ1),2018 FQ1,,Y,N,APO,0.2174,1.169,0.915,3.93,178.10,63.17,140.09,2461200.5,461,1.26,0.7802,1.42,26.93,,,,,,,,,,,,,7,6,34,0.00632,2.46,5.38
       (2018 FR1),2018 FR1,,Y,N,APO,0.5010,1.746,0.871,4.12,359.98,238.71,339.77,2458195.5,843,2.31,0.4272,2.62,26.60,,,,,,,,,,,,,8,5,33,0.00852,3.32,3.98
       (2018 FS1),2018 FS1,,Y,N,AMO,0.4733,2.155,1.135,9.10,159.62,79.36,190.34,2461200.5,1.16e+03,3.16,0.3116,3.17,20.80,,,,,,,,,,,,,1,1108,104,0.206,80.2,3.53
       (2018 FT1),2018 FT1,,Y,N,APO,0.4545,1.053,0.574,21.37,359.14,39.63,96.54,2458196.5,395,1.08,0.9124,1.53,23.00,,,,,,,,,,,,,9,8,20,0.159,61.9,5.69
       (2018 FU1),2018 FU1,,Y,N,APO,0.1336,1.041,0.902,6.95,176.40,97.83,187.20,2461200.5,388,1.06,0.928,1.18,26.80,,,,,,,,,,,,,2,296,27,0.000613,0.239,5.88
       (2018 FV1),2018 FV1,,Y,N,AMO,0.4755,2.012,1.055,4.99,7.92,198.45,308.65,2461200.5,1.04e+03,2.85,0.3453,2.97,23.90,,,,,,,,,,,,,7,17,38,0.0584,22.7,3.68
       (2018 FW1),2018 FW1,,Y,N,APO,0.5313,2.161,1.013,2.58,186.22,8.12,206.02,2461200.5,1.16e+03,3.18,0.3103,3.31,25.00,,,,,,,,,,,,,7,20,69,0.0145,5.63,3.5
       (2018 FX1),2018 FX1,,Y,N,AMO,0.6478,3.236,1.139,23.04,3.12,167.93,148.44,2461200.5,2.13e+03,5.82,0.1693,5.33,22.00,,,,,,,,,,,,,6,34,76,0.151,58.7,2.71
       (2018 FY1),2018 FY1,,Y,N,AMO,0.6212,2.696,1.021,21.95,12.10,254.41,287.92,2461200.5,1.62e+03,4.43,0.2227,4.37,19.25,,,,,,,,,,,,,4,225,163,0.244,94.8,2.98
       (2018 FZ1),2018 FZ1,,Y,N,AMO,0.4374,2.17,1.221,4.00,41.47,53.22,243.99,2461200.5,1.17e+03,3.2,0.3084,3.12,21.12,,,,,,,,,,,,,0,5910,55,0.244,95.1,3.56
       (2018 FA2),2018 FA2,,Y,N,APO,0.5587,2.285,1.008,3.50,176.27,22.16,355.13,2458196.5,1.26e+03,3.45,0.2853,3.56,26.90,,,,,,,,,,,,,8,4,28,0.0198,7.72,3.37
       (2018 FB2),2018 FB2,,Y,N,APO,0.1987,1.136,0.910,5.43,357.10,258.63,229.25,2461200.5,442,1.21,0.8141,1.36,25.60,,,,,,,,,,,,,7,12,25,0.0235,9.16,5.49
       (2018 FC2),2018 FC2,,Y,N,APO,0.5591,2.211,0.975,14.29,178.29,333.27,188.65,2461200.5,1.2e+03,3.29,0.2998,3.45,24.70,,,,,,,,,,,,,7,21,39,0.0158,6.14,3.4
       (2018 FD2),2018 FD2,,Y,N,APO,0.3968,1.122,0.677,14.74,177.00,261.67,23.60,2461200.5,434,1.19,0.8291,1.57,26.80,,,,,,,,,,,,,7,3,26,0.00445,1.73,5.46
       (2018 FE2),2018 FE2,,Y,N,AMO,0.4281,1.785,1.021,12.40,165.86,332.21,177.97,2461200.5,871,2.39,0.4132,2.55,22.80,,,,,,,,,,,,,6,52,67,0.0575,22.4,3.95
       (2018 FF2),2018 FF2,,Y,N,APO,0.3077,1.446,1.001,25.08,12.51,241.21,221.76,2461200.5,635,1.74,0.5667,1.89,21.62,,,,,,,,,,,,,0,5339,101,0.121,47.1,4.51
       (2018 FG2),2018 FG2,,Y,N,APO,0.2268,1.268,0.980,22.99,172.67,47.95,331.51,2458195.5,521,1.43,0.6904,1.56,24.79,,,,,,,,,,,,,8,7,28,0.0463,18,4.99
       (2018 FH2),2018 FH2,,Y,N,AMO,0.3447,1.628,1.067,16.92,5.41,138.57,359.14,2461200.5,759,2.08,0.4744,2.19,23.80,,,,,,,,,,,,,7,24,39,0.126,49,4.2
       (2018 FJ2),2018 FJ2,,Y,N,AMO,0.1348,1.277,1.105,22.41,174.28,10.70,2.40,2458206.5,527,1.44,0.6826,1.45,24.50,,,,,,,,,,,,,8,12,37,0.113,43.8,4.98
       (2018 FK2),2018 FK2,,Y,N,AMO,0.3088,1.669,1.153,30.21,358.96,210.59,343.41,2458196.5,787,2.16,0.4572,2.18,23.90,,,,,,,,,,,,,8,18,20,0.19,73.9,4.05
       (2018 FL2),2018 FL2,,Y,N,APO,0.6797,2.228,0.714,0.64,251.96,1.56,346.17,2458197.5,1.22e+03,3.33,0.2963,3.74,25.50,,,,,,,,,,,,,8,3,30,0.0106,4.13,3.29
       (2018 FM2),2018 FM2,,Y,N,ATE,0.0947,0.9418,0.853,1.16,143.06,191.87,204.65,2461200.5,334,0.914,1.078,1.03,26.60,,,,,,,,,,,,,5,37,18,0.014,5.43,6.37
       (2018 FU2),2018 FU2,,Y,N,APO,0.5789,2.142,0.902,5.42,357.47,126.66,12.80,2458195.5,1.15e+03,3.14,0.3143,3.38,26.84,,,,,,,,,,,,,8,9,11,0.0186,7.24,3.47
       (2018 FV2),2018 FV2,,Y,N,AMO,0.2416,1.555,1.179,10.94,178.80,346.57,7.86,2458196.5,708,1.94,0.5082,1.93,24.80,,,,,,,,,,,,,8,21,13,0.188,73.3,4.39
       (2018 FW2),2018 FW2,,Y,N,AMO,0.5546,2.604,1.160,1.91,188.91,6.43,342.25,2461200.5,1.54e+03,4.2,0.2345,4.05,24.90,,,,,,,,,,,,,7,36,32,0.16,62.1,3.17
       (2018 FX2),2018 FX2,,Y,N,AMO,0.3588,1.761,1.129,32.24,167.47,248.37,78.79,2458193.5,853,2.34,0.4219,2.39,20.38,,,,,,,,,,,,,8,11,15,0.301,117,3.87
       (2018 FY2),2018 FY2,,Y,N,APO,0.7458,2.526,0.642,1.31,51.87,35.88,13.19,2458197.5,1.47e+03,4.02,0.2454,4.41,25.77,,,,,,,,,,,,,9,6,14,0.0162,6.29,2.99
       (2018 FZ2),2018 FZ2,,Y,N,APO,0.3451,1.083,0.710,3.46,163.02,258.87,182.21,2461200.5,412,1.13,0.874,1.46,24.30,,,,,,,,,,,,,7,22,25,0.00529,2.06,5.66
       (2018 FA3),2018 FA3,,Y,N,APO,0.2476,1.081,0.813,7.79,17.42,0.22,267.68,2461200.5,411,1.12,0.8769,1.35,22.80,,,,,,,,,,,,,5,25,27,0.131,50.9,5.69
       (2018 FB3),2018 FB3,,Y,N,APO,0.6641,2.406,0.808,5.08,348.73,253.82,347.06,2458192.5,1.36e+03,3.73,0.2641,4.00,25.20,,,,,,,,,,,,,8,11,21,0.0232,9.04,3.17
       (2018 FC3),2018 FC3,,Y,N,APO,0.5637,1.842,0.804,9.09,179.52,66.97,341.48,2458197.5,913,2.5,0.3942,2.88,27.50,,,,,,,,,,,,,8,1,29,0.0115,4.48,3.79
       (2018 FD3),2018 FD3,,Y,N,AMO,0.4381,2.271,1.276,3.39,177.08,4.83,145.28,2461200.5,1.25e+03,3.42,0.288,3.27,22.30,,,,,,,,,,,,,5,90,48,0.279,109,3.48
       (2018 FE3),2018 FE3,,Y,N,ATE,0.2105,0.884,0.698,6.86,176.67,224.72,76.97,2461200.5,304,0.831,1.186,1.07,27.20,,,,,,,,,,,,,6,23,58,0.000815,0.317,6.69
       (2018 FF3),2018 FF3,,Y,N,APO,0.3426,1.401,0.921,16.46,1.88,226.39,319.81,2461200.5,606,1.66,0.5942,1.88,26.63,,,,,,,,,,,,,7,1,85,0.00328,1.28,4.65
       (2018 FK3),2018 FK3,,Y,N,AMO,0.3667,1.645,1.042,38.82,174.53,88.09,312.67,2458198.5,771,2.11,0.4672,2.25,22.10,,,,,,,,,,,,,9,3,16,0.343,133,3.98
       (2018 FL3),2018 FL3,,Y,N,AMO,0.3951,2.035,1.231,39.03,184.70,11.58,293.67,2461200.5,1.06e+03,2.9,0.3395,2.84,20.43,,,,,,,,,,,,,1,1171,124,0.24,93.3,3.45
       (2018 FM3),2018 FM3,,Y,N,APO,0.0899,1.014,0.923,4.56,181.69,255.75,112.37,2461200.5,373,1.02,0.9656,1.10,27.20,,,,,,,,,,,,,5,16,47,0.0148,5.78,6.01
       (2018 FN3),2018 FN3,,Y,N,APO,0.4925,1.978,1.004,1.89,187.59,335.59,348.20,2461200.5,1.02e+03,2.78,0.3542,2.95,25.72,,,,,,,,,,,,,7,39,98,0.0167,6.5,3.7
       (2018 FO3),2018 FO3,,Y,N,APO,0.0686,1.081,1.007,10.59,182.70,89.62,28.98,2461200.5,410,1.12,0.8773,1.15,25.70,,,,,,,,,,,,,3,192,53,0.066,25.7,5.71
       (2018 FP3),2018 FP3,,Y,N,AMO,0.4093,2.041,1.206,5.35,203.97,55.93,257.72,2461200.5,1.07e+03,2.92,0.3379,2.88,21.22,,,,,,,,,,,,,0,2367,166,0.208,81.1,3.69
       (2018 FQ3),2018 FQ3,,Y,N,APO,0.5083,1.826,0.898,7.86,179.04,314.23,14.69,2458199.5,901,2.47,0.3995,2.75,28.60,,,,,,,,,,,,,8,2,17,0.00188,0.731,3.86
       (2018 FR3),2018 FR3,,Y,N,APO,0.4035,1.614,0.963,3.83,174.94,36.14,350.82,2461200.5,749,2.05,0.4806,2.27,27.30,,,,,,,,,,,,,7,1,38,0.00856,3.33,4.24
       (2018 FT3),2018 FT3,,Y,N,ATE,0.1699,0.902,0.749,3.11,185.58,173.24,34.07,2461200.5,313,0.857,1.151,1.06,26.80,,,,,,,,,,,,,7,6,26,0.0284,11.1,6.59
       (2018 FU3),2018 FU3,,Y,N,APO,0.5100,2.06,1.009,3.86,359.57,210.93,351.73,2458199.5,1.08e+03,2.96,0.3333,3.11,26.20,,,,,,,,,,,,,8,7,24,0.0271,10.5,3.61
       (2018 FV3),2018 FV3,,Y,N,AMO,0.1347,1.221,1.057,8.50,182.41,47.89,354.71,2461200.5,493,1.35,0.7304,1.39,25.50,,,,,,,,,,,,,4,141,67,0.086,33.5,5.21
       (2018 FW3),2018 FW3,,Y,N,AMO,0.1827,1.299,1.061,8.63,181.23,355.06,201.43,2461200.5,541,1.48,0.6659,1.54,26.30,,,,,,,,,,,,,7,19,34,0.0659,25.6,4.98
       (2018 FX3),2018 FX3,,Y,N,AMO,0.2494,1.44,1.081,27.49,180.79,5.74,358.13,2458199.5,631,1.73,0.5705,1.80,24.60,,,,,,,,,,,,,9,7,31,0.0853,33.2,4.52
       (2018 FY3),2018 FY3,,Y,N,APO,0.2908,1.402,0.994,12.43,2.16,149.72,16.33,2458199.5,606,1.66,0.5938,1.81,26.20,,,,,,,,,,,,,8,2,16,0.0265,10.3,4.68
       (2018 FZ3),2018 FZ3,,Y,N,APO,0.6166,2.241,0.859,7.41,182.82,48.84,148.91,2461200.5,1.23e+03,3.35,0.2938,3.62,27.58,,,,,,,,,,,,,7,1,33,0.00301,1.17,3.35
       (2018 FA4),2018 FA4,,Y,N,APO,0.6358,2.552,0.930,13.16,356.00,139.98,12.93,2461200.5,1.49e+03,4.08,0.2417,4.17,25.40,,,,,,,,,,,,,6,28,36,0.0188,7.32,3.09
       (2018 FB4),2018 FB4,,Y,N,ATE,0.3872,0.9292,0.569,17.25,181.21,233.85,145.86,2461200.5,327,0.896,1.1,1.29,27.50,,,,,,,,,,,,,7,1,31,0.0165,6.41,6.34
       (2018 FE4),2018 FE4,,Y,N,APO,0.6051,1.647,0.650,19.22,183.71,92.44,335.43,2458205.5,772,2.11,0.4664,2.64,24.70,,,,,,,,,,,,,8,10,31,0.00789,3.07,4.01
       (2018 FJ4),2018 FJ4,,Y,Y,APO,0.3866,1.479,0.907,1.23,223.88,88.88,118.54,2461200.5,657,1.8,0.5479,2.05,21.21,,,,,,,,,,,,,0,6821,147,0.013,5.08,4.5
       (2018 FK4),2018 FK4,,Y,N,APO,0.7063,2.845,0.835,8.69,3.49,253.72,251.30,2461200.5,1.75e+03,4.8,0.2054,4.85,24.50,,,,,,,,,,,,,7,21,21,0.0504,19.6,2.86
       (2018 FL4),2018 FL4,,Y,N,APO,0.6205,2.476,0.940,2.91,134.81,7.96,46.81,2461200.5,1.42e+03,3.9,0.253,4.01,23.90,,,,,,,,,,,,,7,32,42,0.0166,6.44,3.18
       (2018 FM4),2018 FM4,,Y,N,AMO,0.5543,2.87,1.279,30.90,16.98,185.99,245.55,2461200.5,1.78e+03,4.86,0.2028,4.46,21.70,,,,,,,,,,,,,7,30,41,0.28,109,2.87
       (2018 FN4),2018 FN4,,Y,N,AMO,0.6174,2.672,1.023,17.35,37.64,234.82,293.85,2461200.5,1.6e+03,4.37,0.2256,4.32,19.70,,,,,,,,,,,,,4,223,91,0.137,53.3,3.02
       (2018 FO4),2018 FO4,,Y,N,APO,0.2335,1.23,0.943,4.46,354.97,241.52,332.87,2461200.5,498,1.36,0.7225,1.52,27.50,,,,,,,,,,,,,7,2,29,0.0198,7.71,5.17
       (2018 FP4),2018 FP4,,Y,N,AMO,0.3232,1.596,1.080,14.72,183.40,19.66,353.63,2458206.5,737,2.02,0.4887,2.11,25.30,,,,,,,,,,,,,8,18,27,0.0935,36.4,4.27
       (2018 FQ4),2018 FQ4,,Y,N,APO,0.4686,1.709,0.908,0.26,99.26,34.36,259.65,2461200.5,816,2.24,0.441,2.51,27.08,,,,,,,,,,,,,0,4125,71,0.000435,0.169,4.06
       (2018 FU4),2018 FU4,,Y,N,APO,0.6384,2.812,1.017,3.77,1.95,164.30,269.07,2461200.5,1.72e+03,4.72,0.209,4.61,25.50,,,,,,,,,,,,,7,28,64,0.0275,10.7,2.98
       (2018 FV4),2018 FV4,,Y,N,AMO,0.4887,2.052,1.049,5.06,221.89,354.91,273.62,2461200.5,1.07e+03,2.94,0.3354,3.05,23.80,,,,,,,,,,,,,6,50,66,0.0425,16.5,3.63
       (2018 FW4),2018 FW4,,Y,N,APO,0.4599,1.633,0.882,3.44,196.74,52.57,334.73,2458200.5,762,2.09,0.4724,2.38,25.10,,,,,,,,,,,,,8,7,31,0.00105,0.408,4.18
       (2018 FX4),2018 FX4,,Y,N,APO,0.7250,1.774,0.488,1.79,7.47,69.98,20.88,2458200.5,863,2.36,0.4172,3.06,25.60,,,,,,,,,,,,,8,4,47,0.00414,1.61,3.74
       (2018 FY4),2018 FY4,,Y,N,APO,0.4370,1.781,1.003,7.54,46.01,99.53,178.85,2461200.5,868,2.38,0.4146,2.56,23.60,,,,,,,,,,,,,6,32,38,0.115,44.8,3.96
       (2018 FE5),2018 FE5,,Y,N,AMO,0.5851,2.622,1.088,24.64,7.39,260.39,313.38,2461200.5,1.55e+03,4.25,0.2321,4.16,20.60,,,,,,,,,,,,,5,165,53,0.342,133,3.03
       (2018 FF5),2018 FF5,,Y,N,APO,0.5306,2.053,0.964,3.11,357.27,153.19,293.30,2461200.5,1.07e+03,2.94,0.3349,3.14,28.00,,,,,,,,,,,,,7,6,16,0.0022,0.856,3.6
       (2018 FG5),2018 FG5,,Y,N,APO,0.6206,2.407,0.913,3.74,194.23,284.55,86.14,2461200.5,1.36e+03,3.73,0.264,3.90,24.50,,,,,,,,,,,,,7,23,15,0.0394,15.3,3.23
       (2018 FJ5),2018 FJ5,,Y,Y,APO,0.8566,2.486,0.356,18.26,124.20,287.73,49.25,2461200.5,1.43e+03,3.92,0.2515,4.61,20.13,,,,,,,,,,,,,0,1459,121,0.0337,13.1,2.77
       (2018 FK5),2018 FK5,,Y,N,APO,0.2965,1.094,0.770,12.22,9.49,269.74,1.71,2461200.5,418,1.14,0.8611,1.42,28.30,,,,,,,,,,,,,6,1,33,0.00101,0.392,5.61
       (2018 FO5),2018 FO5,,Y,Y,APO,0.4345,1.661,0.939,9.12,236.91,41.39,248.19,2461200.5,782,2.14,0.4605,2.38,20.53,,,,,,,,,,,,,0,1436,109,0.00264,1.03,4.14
       (2018 FP5),2018 FP5,,Y,N,APO,0.5010,1.069,0.533,12.27,5.79,64.85,207.26,2461200.5,404,1.11,0.8916,1.60,25.70,,,,,,,,,,,,,7,10,29,0.00697,2.71,5.63
       (2018 FQ5),2018 FQ5,,Y,N,AMO,0.5186,2.569,1.237,29.10,43.17,202.23,341.23,2461200.5,1.5e+03,4.12,0.2394,3.90,18.63,,,,,7.52,,,,,,,,0,2936,348,0.251,97.6,3.08
       (2018 FJ29),2018 FJ29,,Y,N,APO,0.4831,1.912,0.988,8.84,32.91,208.82,19.45,2461200.5,966,2.64,0.3728,2.84,22.70,,,,,,,,,,,,,7,18,49,0.0168,6.53,3.77
       (2018 FK29),2018 FK29,,Y,N,APO,0.6793,1.845,0.592,11.51,164.70,153.65,67.50,2461200.5,915,2.51,0.3933,3.10,19.58,,,,,,,,,,,,,0,1860,90,0.173,67.3,3.68
       (2018 FL29),2018 FL29,,Y,N,APO,0.5127,1.695,0.826,0.10,53.27,63.64,19.87,2458197.5,806,2.21,0.4467,2.56,30.09,,,,,,,,,,,,,9,1,10,0.000184,0.0716,4.05
       (2018 GA),2018 GA,,Y,N,APO,0.4542,1.811,0.988,23.95,177.10,53.42,119.86,2461200.5,890,2.44,0.4045,2.63,20.22,,,,,,,,,,,,,0,4343,91,0.11,42.7,3.83
       (2018 GB),2018 GB,,Y,N,ATE,0.1879,0.9068,0.736,14.36,183.18,152.73,41.16,2461200.5,315,0.863,1.141,1.08,24.96,,,,,,,,,,,,,7,1,22,0.0473,18.4,6.53
       (2018 GC),2018 GC,,Y,N,APO,0.6931,2.855,0.876,22.98,24.86,209.11,243.89,2461200.5,1.76e+03,4.83,0.2043,4.83,20.80,,,,,,,,,,,,,6,155,48,0.0674,26.2,2.81
       (2018 GD),2018 GD,,Y,N,APO,0.3183,1.376,0.938,6.31,157.52,344.33,52.25,2461200.5,589,1.61,0.6107,1.81,24.60,,,,,,,,,,,,,7,34,50,0.036,14,4.75
       (2018 GE),2018 GE,,Y,N,ATE,0.1069,0.9215,0.823,1.24,163.66,243.57,219.53,2461200.5,323,0.885,1.114,1.02,27.50,,,,,,,,,,,,,5,18,44,0.00993,3.87,6.48
       (2018 GG),2018 GG,,Y,N,APO,0.6060,2.175,0.857,7.17,22.94,229.12,184.43,2461200.5,1.17e+03,3.21,0.3072,3.49,24.73,,,,,0.0223,,,,,,,,5,153,106,0.0056,2.18,3.41
       (2018 GH),2018 GH,,Y,N,APO,0.5298,2.044,0.961,9.65,46.15,193.31,348.12,2458217.5,1.07e+03,2.92,0.3372,3.13,23.01,,,,,,,,,,,,,8,17,93,0.0321,12.5,3.59
       (2018 GJ),2018 GJ,,Y,N,APO,0.1503,1.152,0.978,36.94,21.61,250.52,297.90,2458216.5,451,1.24,0.7976,1.32,23.42,,,,,,,,,,,,,8,16,47,0.0674,26.2,5.26
       (2018 GL),2018 GL,,Y,N,APO,0.5641,1.689,0.736,11.81,137.31,335.25,285.72,2461200.5,802,2.2,0.4489,2.64,20.43,,,,,,,,,,,,,0,1046,259,0.143,55.6,4
       (2018 GM),2018 GM,,Y,Y,APO,0.5521,1.67,0.748,33.05,18.79,255.84,257.79,2461200.5,788,2.16,0.4569,2.59,21.60,,,,,,,,,,,,,0,923,167,0.016,6.23,3.91
       (2018 GN),2018 GN,,Y,N,APO,0.7360,2.422,0.639,1.60,24.91,255.77,47.19,2461200.5,1.38e+03,3.77,0.2614,4.21,26.21,,,,,,,,,,,,,7,16,86,0.00274,1.06,3.07
       (2018 GP),2018 GP,,Y,N,AMO,0.6359,2.794,1.017,5.41,23.63,180.33,269.08,2461200.5,1.71e+03,4.67,0.211,4.57,27.30,,,,,,,,,,,,,7,5,21,0.0146,5.69,2.99
       (2018 GQ),2018 GQ,,Y,N,ATE,0.2032,0.8974,0.715,18.49,187.26,211.35,3.25,2461200.5,311,0.85,1.159,1.08,23.46,,,,,,,,,,,,,5,10,36,0.0404,15.7,6.57
       (2018 GV),2018 GV,,Y,N,APO,0.7844,2.711,0.584,12.66,95.61,340.66,310.19,2461200.5,1.63e+03,4.47,0.2207,4.84,19.92,,,,,,,,,,,,,7,31,50,0.195,76,2.79
       (2018 GW),2018 GW,,Y,N,AMO,0.3990,1.697,1.020,3.33,30.67,219.53,339.77,2458219.5,807,2.21,0.446,2.37,25.30,,,,,,,,,,,,,8,34,29,0.0307,11.9,4.11
       (2018 GX),2018 GX,,Y,N,APO,0.4939,1.947,0.986,3.54,147.78,86.76,349.52,2461200.5,993,2.72,0.3627,2.91,23.90,,,,,,,,,,,,,6,97,31,0.0563,21.9,3.73
       (2018 GY),2018 GY,,Y,N,ATE,0.4062,0.7667,0.455,8.75,176.90,204.98,231.42,2461200.5,245,0.671,1.468,1.08,24.83,,,,,,,,,,,,,1,1471,34,0.00903,3.51,7.48
       (2018 GZ),2018 GZ,,Y,N,APO,0.0923,1.083,0.984,4.60,192.73,320.65,125.13,2461200.5,412,1.13,0.8739,1.18,27.80,,,,,,,,,,,,,6,12,40,0.00302,1.18,5.71
       (2018 GG1),2018 GG1,,Y,N,APO,0.6549,2.782,0.960,17.17,30.22,215.10,350.41,2458220.5,1.7e+03,4.64,0.2124,4.60,22.50,,,,,,,,,,,,,8,30,36,0.0226,8.78,2.93
       (2018 GH1),2018 GH1,,Y,N,APO,0.6352,2.201,0.803,13.44,104.19,0.41,203.08,2461200.5,1.19e+03,3.26,0.3019,3.60,21.60,,,,,,,,,,,,,7,30,27,0.173,67.4,3.34
       (2018 GJ1),2018 GJ1,,Y,Y,APO,0.5517,1.804,0.809,6.80,38.29,250.64,101.40,2461200.5,885,2.42,0.4067,2.80,20.80,,,,,,,,,,,,,1,2057,275,0.0139,5.42,3.86
       (2018 GK1),2018 GK1,,Y,N,AMO,0.4170,2.155,1.256,40.21,6.70,157.12,215.48,2461200.5,1.16e+03,3.16,0.3116,3.05,20.22,,,,,,,,,,,,,7,33,51,0.284,111,3.31
       (2018 GL1),2018 GL1,,Y,N,AMO,0.3387,1.548,1.024,4.06,81.74,159.74,64.41,2461200.5,704,1.93,0.5116,2.07,23.72,,,,,,,,,,,,,5,110,147,0.0183,7.11,4.38
       (2018 GM1),2018 GM1,,Y,N,APO,0.6529,1.823,0.633,2.56,115.98,349.38,22.26,2458218.5,899,2.46,0.4003,3.01,24.69,,,,,,,,,,,,,8,16,29,0.0432,16.8,3.75
       (2018 GN1),2018 GN1,,Y,N,APO,0.4729,1.765,0.930,1.46,190.02,330.61,186.46,2461200.5,857,2.35,0.4202,2.60,27.40,,,,,,,,,,,,,7,5,25,0.00407,1.59,3.97
       (2018 GQ1),2018 GQ1,,Y,N,APO,0.3940,1.638,0.993,17.95,195.73,330.01,334.70,2461200.5,766,2.1,0.4701,2.28,24.30,,,,,,,,,,,,,7,28,56,0.0291,11.3,4.16
       (2018 GR1),2018 GR1,,Y,N,APO,0.5524,1.503,0.673,11.46,32.75,261.23,327.33,2458220.5,673,1.84,0.5351,2.33,24.12,,,,,,,,,,,,,8,11,51,0.0151,5.89,4.34
       (2018 GS1),2018 GS1,,Y,N,APO,0.1108,1.083,0.963,17.15,33.63,31.37,210.83,2461200.5,412,1.13,0.8744,1.20,22.59,,,,,,,,,,,,,5,47,80,0.017,6.6,5.67
